State, Facility Name, Facility ID (ORISPL), Year,CO2 (Mt), Facility Latitude, Facility Longitude
CO,Fort St. Vrain,6112,2021,0.324977321,40.2461,-104.8742
CO,Fountain Valley Power Plant,55453,2021,0.013234556,38.5569,-104.6875
CO,Frank Knutson Station,55505,2021,0.012659444,39.9414,-104.6817
CO,Front Range Power Plant,55283,2021,0.295525927,38.6281,-104.7069
CO,Hayden,525,2021,0.705661265,40.4856,-107.185
CO,J M Shafer,50707,2021,0.050832952,40.0979,-104.7745
CO,Limon Generating Station,55504,2021,0.011075065,39.2038,-103.7005
CO,Manchief Generating Station,55127,2021,0.037736264,40.2201,-103.679
CO,Martin Drake,492,2021,0.09537751,38.8244,-104.8331
CO,Pawnee,6248,2021,0.752456142,40.2217,-103.6803
CO,Pueblo Airport Generating Station,56998,2021,0.131164065,38.322,-104.533
CO,Rawhide Energy Station,6761,2021,0.422447211,40.8611,-105.0206
CO,Ray D Nixon,8219,2021,0.252085997,38.6306,-104.7056
CO,Rocky Mountain Energy Center,55835,2021,0.248190044,40.0911,-104.5947
CO,Spindle Hill Energy Center,56445,2021,0.036216807,40.0914,-104.8819
CO,Valmont Combustion Turbine Facility,55207,2021,0.000784441,40.0197,-105.202
CT,Alfred L Pierce Generating Station,6635,2021,0.001173545,41.4485,-72.834
CT,"Algonquin Power Windsor Locks, LLC",10567,2021,0.007212357,41.9227,-72.6255
CT,Bridgeport Energy,55042,2021,0.250007877,41.1692,-73.1844
CT,Bridgeport Harbor Station,568,2021,0.6000291,41.1706,-73.1843
CT,CPV Towantic Energy Center,56047,2021,0.504211862,41.4841,-73.1229
CT,Capitol District Energy Center,50498,2021,0,41.7639,-72.6925
CT,Devon,544,2021,0.000829855,41.2083,-73.1092
CT,Kleen Energy Systems Project,56798,2021,0.036264716,41.5526,-72.597
CT,Lake Road Generating Company,55149,2021,0.473009285,41.8736,-71.8947
CT,Middletown,562,2021,0.003256498,41.5544,-72.5793
CT,Milford Power Company LLC,55126,2021,0.390161659,41.2239,-73.1
CT,Montville,546,2021,0.013067017,41.4281,-72.1019
CT,New Haven Harbor,6156,2021,0.001246099,41.2836,-72.9042
CT,"Pratt & Whitney, East Hartford",54605,2021,0.010198135,41.75,-72.6347
CT,South Meadow Station,563,2021,0.000241311,41.7495,-72.6524
CT,"Wallingford Energy, LLC",55517,2021,0.010422982,41.4486,-72.8358
CT,Waterbury Generation,56629,2021,0.001394531,41.5444,-73.0416
DC,GSA Central Heating,880004,2021,0,38.8856,-77.0244
DE,Christiana Substation,591,2021,0,39.7302,-75.5371
DE,Delaware City Refinery,52193,2021,0.050531293,39.5936,-75.6337
DE,Edge Moor,593,2021,7.33976E-05,39.7372,-75.5033
DE,Energy Center Dover LLC,10030,2021,0.008905152,39.1467,-75.5461
DE,Garrison Energy Center,57349,2021,0.038108831,39.1882,-75.4999
DE,Hay Road,7153,2021,0.015283972,39.7436,-75.5072
DE,Indian River,594,2021,0.143627247,38.5857,-75.2341
DE,McKee Run,599,2021,1.36196E-05,39.1748,-75.5455
DE,Van Sant,7318,2021,0.000844156,39.15,-75.5466
DE,Warren F. Sam Beasley Pwr Station,7962,2021,0.00302448,39.2798,-75.6246
FL,Anclote,8048,2021,0.162123375,28.1844,-82.7887
FL,Arvah B Hopkins,688,2021,0.09932022,30.4522,-84.4
FL,Bayside Power Station,7873,2021,0.756511795,27.9072,-82.4231
FL,Big Bend,645,2021,0.770718495,27.7944,-82.4036
FL,Brandy Branch,7846,2021,0.467249868,30.3206,-81.9486
FL,C D McIntosh Jr Power Plant,676,2021,0.594569015,28.0809,-81.9256
FL,Cane Island,7238,2021,0.244153,28.2764,-81.533
FL,Cape Canaveral,609,2021,0.51294945,28.4694,-80.7642
FL,Charles Larsen Memorial Power Plant,675,2021,0.004070392,28.0491,-81.9238
FL,Crystal River,628,2021,1.85961033,28.9594,-82.7003
FL,Curtis H. Stanton Energy Center,564,2021,1.210615047,28.4836,-81.1686
FL,Debary,6046,2021,0.027549486,28.9047,-81.3319
FL,Deerhaven,663,2021,0.172786512,29.7586,-82.3883
FL,Deerhaven Renewable Energy Center,57241,2021,0.222782021,29.7675,-82.3964
FL,Fort Myers,612,2021,0.789990901,26.6967,-81.7831
FL,Greenland Energy Center,56799,2021,0.069514288,30.1603,-81.5164
FL,Gulf Clean Energy Center,641,2021,0.383627259,30.5661,-87.2289
FL,Hardee Power Station,50949,2021,0.000644434,27.6364,-81.9636
FL,Hines Energy Complex,7302,2021,0.929158756,27.7886,-81.8694
FL,Indian River (683),683,2021,0.004512892,28.4933,-80.7825
FL,"Indiantown Cogeneration, LP",50976,2021,0,27.0393,-80.5144
FL,Intercession City,8049,2021,0.059464929,28.2628,-81.5486
FL,J D Kennedy,666,2021,0.043364412,30.3644,-81.6236
FL,J R Kelly,664,2021,0.026071334,29.6467,-82.3219
FL,Lansing Smith Generating Plant,643,2021,0.481243013,30.2689,-85.7003
FL,Lauderdale,613,2021,0.024575401,26.0681,-80.1983
FL,Manatee,6042,2021,0.694631315,27.6058,-82.3456
FL,Martin,6043,2021,0.666291795,27.0536,-80.5628
FL,Midulla Generating Station,7380,2021,0.378989884,27.6417,-81.9625
FL,Mulberry Cogeneration Facility,54426,2021,0.047510755,27.8489,-81.8775
FL,Northside,667,2021,0.43764983,30.4172,-81.5525
FL,Okeechobee Clean Energy Center,60345,2021,0.489972455,27.6342,-80.7911
FL,Oleander Power Project,55286,2021,0.007439941,28.3661,-80.7947
FL,Orange Cogeneration Facility,54365,2021,0.041168139,27.8708,-81.8253
FL,Orlando CoGen,54466,2021,0.099909306,28.4422,-81.4119
FL,Osceola,55192,2021,0,28.1289,-81.0978
FL,Osprey Energy Center,55412,2021,0.141170721,28.0525,-81.8083
FL,P L Bartow,634,2021,0.536684896,27.8613,-82.6012
FL,Polk,7242,2021,0.354690476,27.7286,-81.9897
FL,Port Everglades,617,2021,0.4546738,26.0856,-80.1253
FL,Reedy Creek Central Energy Plant,7254,2021,0.002944087,28.4272,-81.5803
FL,Riviera Beach Energy Center,619,2021,0.375689425,26.7653,-80.0528
FL,S O Purdom,689,2021,0.122856434,30.1619,-84.2014
FL,Sanford,620,2021,0.691551104,28.8419,-81.3256
FL,Santa Rosa Energy Center,55242,2021,0.124649805,30.5661,-87.115
FL,Seminole (136),136,2021,1.437503223,29.7333,-81.6339
FL,Shady Hills,55414,2021,0.015523068,28.3665,-82.5591
FL,Stanton A,55821,2021,0.087394129,28.4881,-81.1675
FL,Stock Island,6584,2021,0.000992059,24.5636,-81.7342
FL,Tiger Bay,7699,2021,0.047616758,27.7447,-81.85
FL,Tom G Smith,673,2021,3.03E-07,26.6125,-80.0678
FL,Treasure Coast Energy Center,56400,2021,0.181091907,27.3839,-80.3775
FL,Turkey Point,621,2021,0.318061956,25.4356,-80.3308
FL,University of Florida,7345,2021,0.041552124,29.6397,-82.3486
FL,Vandolah Power Project,55415,2021,0.080003264,27.5242,-81.9236
FL,West County Energy Center,56407,2021,1.56937618,26.6986,-80.3747
GA,AL Sandersville Energy Facility,55672,2021,0,33.1189,-82.8608
GA,Albany Green Energy LLC,60340,2021,0.178234739,31.5492,-84.1114
GA,Allen B Wilson Combustion Turbine Plant,6258,2021,0,33.138,-81.748
GA,Baconton Power,55304,2021,0.000406153,31.3869,-84.0819
GA,Bowen,703,2021,2.666091989,34.1256,-84.9192
GA,Chattahoochee Energy Facility,7917,2021,0.236729154,33.407,-85.0387
GA,Dahlberg (Jackson County),7765,2021,0.012183495,34.0386,-83.3972
GA,Doyle Energy Facility,55244,2021,0.003093103,33.8376,-83.6996
GA,Edward L Addison Generating Plant,55267,2021,0.005418378,32.911,-84.3059
GA,"Effingham County Power, LLC",55406,2021,0.080483439,32.2792,-81.2842
GA,Hartwell Energy Facility,70454,2021,0.016360112,34.3387,-82.8207
GA,Hawk Road Energy Facility,55141,2021,0.012807725,33.3577,-84.9912
GA,Jack McDonough,710,2021,1.554470463,33.8244,-84.475
GA,MPC Generating,7764,2021,0,33.8122,-83.6954
GA,McIntosh (6124),6124,2021,0.005212594,32.3558,-81.1683
GA,McIntosh Combined Cycle Facility,56150,2021,0.873014816,32.3478,-81.1828
GA,McManus,715,2021,0,31.2125,-81.5458
GA,Mid-Georgia Cogeneration,55040,2021,0.004335101,32.4853,-83.6036
GA,Robins,7348,2021,0.001226696,32.5806,-83.5831
GA,Scherer,6257,2021,1.665058037,33.0583,-83.8072
GA,Sewell Creek Energy,7813,2021,0,33.9486,-85.2769
GA,Smarr Energy Facility,7829,2021,0.001681143,32.9856,-83.8464
GA,Sowega Power Project,7768,2021,0.001056819,31.3869,-84.0814
GA,Talbot Energy Facility,7916,2021,0.005114919,32.5892,-84.6917
GA,Tenaska Georgia Generating Station,55061,2021,0.004474168,33.3516,-84.9996
GA,Thomas A. Smith Energy Facility,55382,2021,0.702564383,34.7094,-84.9182
GA,Walton Bainbridge Power Facility,56015,2021,0,30.9111,-84.5472
GA,Walton County Power,55128,2021,0.001349177,33.8147,-83.6969
GA,Wansley (6052),6052,2021,0.318854755,33.4124,-85.0345
GA,Wansley (7946),7946,2021,0.241383774,33.4082,-85.0399
GA,Wansley CC (55965),55965,2021,0.549434941,33.4063,-85.0373
GA,Washington County Power,55332,2021,0.001121855,33.0917,-82.9803
GA,Yates,728,2021,0.114771642,33.4622,-84.8986
IA,Ames,1122,2021,0.054090473,42.0247,-93.6069
IA,Burlington (IA),1104,2021,0.303757941,40.7412,-91.1168
IA,Dayton Avenue Substation,6463,2021,0,42.0269,-93.5828
IA,Earl F Wisdom,1217,2021,0.00922123,43.1606,-95.2569
IA,Electrifarm,6063,2021,0,42.4407,-92.4205
IA,Emery Station,8031,2021,0.177483081,43.094,-93.2922
IA,Exira Station,56013,2021,0.015368498,41.5131,-94.9189
IA,George Neal North,1091,2021,0.36640617,42.3251,-96.3797
IA,George Neal South,7343,2021,0.177364488,42.3022,-96.3622
IA,Greater Des Moines Energy Center,7985,2021,0.057129267,41.5563,-93.5283
IA,Lansing,1047,2021,0.1092296,43.3359,-91.1672
IA,Lime Creek,7155,2021,0.000757137,43.2481,-93.2046
IA,Louisa,6664,2021,0.878647784,41.3153,-91.0936
IA,Marshalltown CTs,1068,2021,0,42.0474,-92.8594
IA,Marshalltown Generating Station,58236,2021,0.027414126,42.04,-92.87
IA,Muscatine,1167,2021,0.33395533,41.3917,-91.0569
IA,Ottumwa,6254,2021,1.05099246,41.0961,-92.5556
IA,Pleasant Hill Energy Center,7145,2021,0.002590425,41.5572,-93.5242
IA,Prairie Creek,1073,2021,0.065036915,41.9439,-91.6386
IA,Streeter Station,1131,2021,0.003619261,42.5267,-92.4394
IA,Summit Lake,1206,2021,0,41.1141,-94.3499
IA,Sycamore Combustion Turbine,8029,2021,0,41.6722,-93.6769
IA,Walter Scott Jr. Energy Center,1082,2021,1.745269288,41.18,-95.8408
ID,Bennett Mountain Power Project,55733,2021,0.025409018,43.147,-115.6671
ID,Evander Andrews Power Complex,7953,2021,0.019072183,43.1794,-115.7328
ID,Langley Gulch Power Plant,57028,2021,0.210372573,43.9046,-116.8181
ID,Rathdrum Combustion Turbine Project,7456,2021,0.009741471,47.8034,-116.869
ID,"Rathdrum Power, LLC",55179,2021,0.186529807,47.7861,-116.9214
IL,Alsey Station,7818,2021,0.0020406,39.5697,-90.4362
IL,Archer Daniels Midland Co.,10865,2021,0,39.8675,-88.885
IL,Aurora,55279,2021,0.017853952,41.8151,-88.2265
IL,Baldwin Energy Complex,889,2021,1.837799968,38.205,-89.855
IL,"Calumet Energy Team, LLC",55296,2021,0.000926725,41.6835,-87.5563
IL,Cordova Energy Company,55188,2021,0.106390733,41.7146,-90.2802
IL,Crete Energy Park,55253,2021,0,41.4297,-87.6187
IL,Dallman,963,2021,0.346833771,39.7539,-89.6011
IL,E D Edwards,856,2021,0.670158239,40.5958,-89.6631
IL,"Elgin Energy Center, LLC",55438,2021,0.005897237,41.9997,-88.2445
IL,Elwood Energy Facility,55199,2021,0.010848742,41.4388,-88.1236
IL,Factory Gas Turbine,8016,2021,0,39.8266,-89.6368
IL,Fisk,886,2021,0,41.8508,-87.6533
IL,Freedom Power Project,7842,2021,2.95924E-06,39.1025,-88.8589
IL,"Gibson City Energy Center, LLC",55201,2021,0.002060018,40.4705,-88.3987
IL,Goose Creek Power Plant,55496,2021,0.000361295,40.1083,-88.5986
IL,"Grand Tower Energy Center, LLC",862,2021,0,37.6578,-89.5119
IL,Holland Energy Facility,55334,2021,0.074611276,39.2242,-88.7594
IL,Ingredion Incorporated Argo Plant,54556,2021,0,41.7775,-87.8233
IL,Interstate,7425,2021,0.000651221,39.8233,-89.5888
IL,Joliet 29,384,2021,0,41.4947,-88.125
IL,Joliet 9,874,2021,0.001675797,41.4947,-88.125
IL,Joppa Steam,887,2021,1.334539217,37.2103,-88.8606
IL,Kendall Energy Facility,55131,2021,0.800175285,41.4797,-88.2581
IL,Kincaid Generating Station,876,2021,0.953427325,39.5906,-89.4964
IL,Kinmundy Power Plant,55204,2021,0,38.7619,-89.0128
IL,"LSP University Park, LLC",55640,2021,0.053215249,41.4426,-87.7515
IL,"Lee County Generating Station, LLC",55236,2021,0.008789576,41.8287,-89.4054
IL,Lincoln Generating Facility,55222,2021,0,41.3937,-87.9437
IL,MEPI GT Facility,7858,2021,0,37.2175,-88.8658
IL,Marion,976,2021,0.252060259,37.6206,-88.955
IL,"Morris Cogeneration, LLC",55216,2021,0,41.4092,-88.3292
IL,Nelson Energy Center,55183,2021,0.226160492,41.7749,-89.6067
IL,Newton,6017,2021,0.944510336,38.9361,-88.2778
IL,Pinckneyville Power Plant,55202,2021,0,38.1114,-89.3467
IL,Powerton,879,2021,0.673202965,40.5408,-89.6786
IL,Prairie State Generating Station,55856,2021,2.663187055,38.2792,-89.667
IL,Raccoon Creek Power Plant,55417,2021,8.30673E-05,38.6996,-88.5392
IL,Rockford Energy Center,55238,2021,0.008889804,42.2403,-89.1025
IL,Rockford II Energy Center,55936,2021,0.003628514,42.2383,-89.1014
IL,"Rocky Road Power, LLC",55109,2021,0.000504753,42.0931,-88.2397
IL,Shelby County,55237,2021,0,39.2794,-88.4772
IL,Southeast Chicago Energy Project,55281,2021,0,41.7181,-87.5449
IL,Tate & Lyle,10867,2021,0,39.8466,-88.9261
