State, Facility Name, Facility ID (ORISPL), Year, Gross Load (MW-h), CO2 (short tons), Heat Input (MMBtu), Facility Latitude, Facility Longitude,CO2 (Mt)
NJ,West Station,6776,2020,127.79,178.5,2204.1,39.4903,-75.0486,0.000161933
NJ,Woodbridge Energy Center,57839,2020,4558577.55,1621651.051,27287383.5,40.515,-74.3192,1.471137509
NM,Afton Generating Station,55210,2020,948673.4,430082.228,7236969.873,32.1134,-106.848,0.390164146
NM,Bluffview Power Plant,55977,2020,377968.89,187015.089,3146952.191,36.7164,-108.2153,0.169657284
NM,Cunningham,2454,2020,1343942.65,850966.878,14318869.37,32.7131,-103.3533,0.771984387
NM,Escalante,87,2020,637888.15,668993.557,6378643.973,35.4159,-108.082,0.60690092
NM,Four Corners Steam Elec Station,2442,2020,8241376.5,8226212.118,80177568.04,36.69,-108.4814,7.46269624
NM,Hobbs Generating Station,56458,2020,3900010.66,2018692.626,33968382.62,32.7282,-103.3095,1.83132767
NM,La Luz Energy Center,58284,2020,10646.72,6478.316,108998.45,34.6178,-106.817,0.005877031
NM,Lordsburg Generating Station,7967,2020,12099.54,7792.312,131111.812,32.3494,-108.6975,0.007069069
NM,Luna Energy Facility,55343,2020,3391054.07,1367327.687,23007921.35,32.2983,-107.78,1.240419168
NM,Maddox,2446,2020,524383.39,323309.838,5440333.754,32.7131,-103.31,0.293301835
NM,Pyramid Generating Station,7975,2020,128902.13,75869.983,1274790.595,32.2363,-108.5494,0.068828111
NM,Reeves Generating Station,2450,2020,121252.62,86479.228,1455196.284,35.1716,-106.6019,0.078452658
NM,Rio Bravo Generating Station,55039,2020,126523.33,89766.982,1508569.722,35.026,-106.644,0.08143526
NM,Rio Grande,2444,2020,928441.79,591310.323,9949978.056,31.8047,-106.5472,0.536427855
NM,San Juan,2451,2020,5347699.91,6249613.377,59622703.41,36.8006,-108.4386,5.669555511
NM,Valencia Power Plant,55802,2020,73318.3,48490.342,815940.523,34.6063,-106.732,0.043989711
NV,Apex Generating Station,55514,2020,2806917.54,1143652.533,19243962.74,36.4178,-114.9622,1.037504423
NV,Chuck Lenzie Generating Station,55322,2020,6343135.14,2785324.351,46868347.23,36.3853,-114.9228,2.526804471
NV,Clark,2322,2020,258470.87,164189.314,2762815.958,36.0875,-115.0507,0.148950083
NV,Desert Star Energy Center,55077,2020,1048124.16,477014.132,8026666.717,35.7867,-114.9928,0.432740065
NV,Fort Churchill,2330,2020,658643.83,431131.175,7254595.796,39.1281,-119.1319,0.391115735
NV,Harry Allen,7082,2020,3518574.01,1512898.14,25457435.53,36.425,-114.9,1.372478499
NV,Las Vegas Generating Station,10761,2020,262986.24,167537.117,2819195.911,36.2317,-115.1235,0.151987159
NV,North Valmy,8224,2020,1084865.08,1090649.724,10399050.57,40.8831,-117.1542,0.98942107
NV,Silverhawk,55841,2020,2618170.12,1175139.812,19774016.52,36.4078,-114.9603,1.06606921
NV,Sun Peak Generating Station,54854,2020,118743.87,90890.914,1529402.831,36.1392,-115.034,0.082454874
NV,TS Power Plant,56224,2020,1143573.7,1249532.799,11928645.19,40.7458,-116.5297,1.133557412
NV,Tracy,2336,2020,4744064.49,2220932.507,37371457.61,39.5625,-119.525,2.014796656
NV,Walter M. Higgins III Generating Station,55687,2020,1832278.36,801130.104,13480493.97,35.6139,-115.3561,0.726773213
NY,23rd and 3rd,7910,2020,111091.91,66746.553,1123142.414,40.663,-74,0.060551472
NY,59th Street,2503,2020,84,,2820454.35,40.7711,-73.9911,0
NY,74th Street,2504,2020,280,147554.775,2475553.925,40.768,-73.9515,0.133859479
NY,AG - Energy,10803,2020,,,,44.7258,-75.4417,0
NY,Allegany Station No. 133,10619,2020,19624.41,9364.501,157585.291,42.5083,-78.0661,0.008495335
NY,Arthur Kill,2490,2020,937023.91,601846.01,10129449.59,40.5915,-74.2027,0.545985673
NY,Astoria Energy,55375,2020,5655983.71,2423429.708,40776168.35,40.7825,-73.8964,2.19849908
NY,Astoria Gas Turbine Power,55243,2020,19702.7,17273,290470.5,40.7864,-73.9133,0.015669807
NY,Astoria Generating Station,8906,2020,1520696.45,533408.173,8977037.817,40.7869,-73.9122,0.483899893
NY,Athens Generating Company,55405,2020,2002902.63,837827.477,14098037.03,42.2728,-73.8492,0.76006452
NY,Batavia Energy,54593,2020,5105.66,3843.732,64677.204,42.9828,-78.1592,0.003486976
NY,Bayswater Peaking Facility,55699,2020,114189.86,80206.897,1267992.191,40.6106,-73.7614,0.072762494
