State, Facility Name, Facility ID (ORISPL), Year, CO2 (short tons), Facility Latitude, Facility Longitude
CA,Sargent Canyon Cogen Facility,50864,2021,,35.9359,-120.8405
CA,Scattergood Generating Station,404,2021,184023.49,33.9175,-118.4258
CA,"Sentinel Energy Center, LLC",57482,2021,81289.295,33.9366,-116.5722
CA,Stanton Energy Reliability Center,60698,2021,1423.618,33.807,-117.9864
CA,Sunrise Power Company,55182,2021,258149.629,35.2097,-119.585
CA,Tracy Combined Cycle Power Plant,55933,2021,96820.495,37.7107,-121.4906
CA,Valley Generating Station,408,2021,128328.765,34.2481,-118.3903
CA,Walnut Creek Energy Park,57515,2021,18458.031,34.0078,-117.9425
CA,Walnut Energy Center,56078,2021,141465.806,37.4878,-120.8956
CA,Wolfskill Energy Center,55855,2021,684.217,38.2282,-122.076
CA,Woodland Generation Station,7266,2021,46883.324,37.6528,-121.0172
CA,Yuba City Energy Center,10349,2021,5238.239,39.1365,-121.6397
CO,Arapahoe Combustion Turbine Facility,55200,2021,22582.196,39.6692,-105.0018
CO,Blue Spruce Energy Center,55645,2021,39057.413,39.7436,-104.68
CO,Brush Power Projects,10682,2021,10193.861,40.2415,-103.631
CO,Cherokee,469,2021,314949.799,39.8078,-104.9648
CO,Comanche (470),470,2021,2366111.9,38.2081,-104.5747
CO,Craig,6021,2021,2336470.423,40.4627,-107.5912
CO,Fort St. Vrain,6112,2021,358226.074,40.2461,-104.8742
CO,Fountain Valley Power Plant,55453,2021,14588.597,38.5569,-104.6875
CO,Frank Knutson Station,55505,2021,13954.644,39.9414,-104.6817
CO,Front Range Power Plant,55283,2021,325761.479,38.6281,-104.7069
CO,Hayden,525,2021,777858.171,40.4856,-107.185
CO,J M Shafer,50707,2021,56033.722,40.0979,-104.7745
CO,Limon Generating Station,55504,2021,12208.166,39.2038,-103.7005
CO,Manchief Generating Station,55127,2021,41597.099,40.2201,-103.679
CO,Martin Drake,492,2021,105135.678,38.8244,-104.8331
CO,Pawnee,6248,2021,829440.678,40.2217,-103.6803
CO,Pueblo Airport Generating Station,56998,2021,144583.591,38.322,-104.533
CO,Rawhide Energy Station,6761,2021,465668.205,40.8611,-105.0206
CO,Ray D Nixon,8219,2021,277877.166,38.6306,-104.7056
CO,Rocky Mountain Energy Center,55835,2021,273582.614,40.0911,-104.5947
CO,Spindle Hill Energy Center,56445,2021,39922.185,40.0914,-104.8819
CO,Valmont Combustion Turbine Facility,55207,2021,864.698,40.0197,-105.202
CT,Alfred L Pierce Generating Station,6635,2021,1293.612,41.4485,-72.834
CT,"Algonquin Power Windsor Locks, LLC",10567,2021,7950.26,41.9227,-72.6255
CT,Bridgeport Energy,55042,2021,275586.432,41.1692,-73.1844
CT,Bridgeport Harbor Station,568,2021,661418.674,41.1706,-73.1843
CT,CPV Towantic Energy Center,56047,2021,555798.279,41.4841,-73.1229
CT,Capitol District Energy Center,50498,2021,,41.7639,-72.6925
CT,Devon,544,2021,914.758,41.2083,-73.1092
CT,Kleen Energy Systems Project,56798,2021,39974.995,41.5526,-72.597
CT,Lake Road Generating Company,55149,2021,521403.335,41.8736,-71.8947
CT,Middletown,562,2021,3589.673,41.5544,-72.5793
CT,Milford Power Company LLC,55126,2021,430079.486,41.2239,-73.1
CT,Montville,546,2021,14403.916,41.4281,-72.1019
CT,New Haven Harbor,6156,2021,1373.589,41.2836,-72.9042
CT,"Pratt & Whitney, East Hartford",54605,2021,11241.516,41.75,-72.6347
CT,South Meadow Station,563,2021,266,41.7495,-72.6524
CT,"Wallingford Energy, LLC",55517,2021,11489.368,41.4486,-72.8358
CT,Waterbury Generation,56629,2021,1537.207,41.5444,-73.0416
DC,GSA Central Heating,880004,2021,,38.8856,-77.0244
DE,Christiana Substation,591,2021,,39.7302,-75.5371
DE,Delaware City Refinery,52193,2021,55701.2,39.5936,-75.6337
DE,Edge Moor,593,2021,80.907,39.7372,-75.5033
DE,Energy Center Dover LLC,10030,2021,9816.247,39.1467,-75.5461
DE,Garrison Energy Center,57349,2021,42007.783,39.1882,-75.4999
DE,Hay Road,7153,2021,16847.69,39.7436,-75.5072
DE,Indian River,594,2021,158321.893,38.5857,-75.2341
DE,McKee Run,599,2021,15.013,39.1748,-75.5455
DE,Van Sant,7318,2021,930.522,39.15,-75.5466
DE,Warren F. Sam Beasley Pwr Station,7962,2021,3333.918,39.2798,-75.6246
FL,Anclote,8048,2021,178710.379,28.1844,-82.7887
FL,Arvah B Hopkins,688,2021,109481.771,30.4522,-84.4
FL,Bayside Power Station,7873,2021,833911.269,27.9072,-82.4231
FL,Big Bend,645,2021,849571.471,27.7944,-82.4036
FL,Brandy Branch,7846,2021,515054.667,30.3206,-81.9486
FL,C D McIntosh Jr Power Plant,676,2021,655399.962,28.0809,-81.9256
FL,Cane Island,7238,2021,269132.536,28.2764,-81.533
FL,Cape Canaveral,609,2021,565429.819,28.4694,-80.7642
FL,Charles Larsen Memorial Power Plant,675,2021,4486.838,28.0491,-81.9238
FL,Crystal River,628,2021,2049868.913,28.9594,-82.7003
FL,Curtis H. Stanton Energy Center,564,2021,1334474.277,28.4836,-81.1686
FL,Debary,6046,2021,30368.101,28.9047,-81.3319
FL,Deerhaven,663,2021,190464.472,29.7586,-82.3883
FL,Deerhaven Renewable Energy Center,57241,2021,245575.071,29.7675,-82.3964
FL,Fort Myers,612,2021,870815.656,26.6967,-81.7831
FL,Greenland Energy Center,56799,2021,76626.364,30.1603,-81.5164
FL,Gulf Clean Energy Center,641,2021,422876.546,30.5661,-87.2289
FL,Hardee Power Station,50949,2021,710.367,27.6364,-81.9636
FL,Hines Energy Complex,7302,2021,1024221.913,27.7886,-81.8694
FL,Indian River (683),683,2021,4974.61,28.4933,-80.7825
FL,"Indiantown Cogeneration, LP",50976,2021,,27.0393,-80.5144
FL,Intercession City,8049,2021,65548.845,28.2628,-81.5486
FL,J D Kennedy,666,2021,47801.068,30.3644,-81.6236
FL,J R Kelly,664,2021,28738.718,29.6467,-82.3219
FL,Lansing Smith Generating Plant,643,2021,530479.464,30.2689,-85.7003
FL,Lauderdale,613,2021,27089.735,26.0681,-80.1983
FL,Manatee,6042,2021,765699.736,27.6058,-82.3456
FL,Martin,6043,2021,734460.771,27.0536,-80.5628
FL,Midulla Generating Station,7380,2021,417764.716,27.6417,-81.9625
FL,Mulberry Cogeneration Facility,54426,2021,52371.628,27.8489,-81.8775
FL,Northside,667,2021,482426.22,30.4172,-81.5525
FL,Okeechobee Clean Energy Center,60345,2021,540102.024,27.6342,-80.7911
FL,Oleander Power Project,55286,2021,8201.129,28.3661,-80.7947
FL,Orange Cogeneration Facility,54365,2021,45380.092,27.8708,-81.8253
FL,Orlando CoGen,54466,2021,110131.127,28.4422,-81.4119
FL,Osceola,55192,2021,,28.1289,-81.0978
FL,Osprey Energy Center,55412,2021,155614.038,28.0525,-81.8083
FL,P L Bartow,634,2021,591593.662,27.8613,-82.6012
FL,Polk,7242,2021,390979.212,27.7286,-81.9897
FL,Port Everglades,617,2021,501191.929,26.0856,-80.1253
FL,Reedy Creek Central Energy Plant,7254,2021,3245.3,28.4272,-81.5803
FL,Riviera Beach Energy Center,619,2021,414126.584,26.7653,-80.0528
FL,S O Purdom,689,2021,135425.998,30.1619,-84.2014
FL,Sanford,620,2021,762304.386,28.8419,-81.3256
FL,Santa Rosa Energy Center,55242,2021,137402.851,30.5661,-87.115
FL,Seminole (136),136,2021,1584575.608,29.7333,-81.6339
FL,Shady Hills,55414,2021,17111.248,28.3665,-82.5591
FL,Stanton A,55821,2021,96335.509,28.4881,-81.1675
FL,Stock Island,6584,2021,1093.557,24.5636,-81.7342
FL,Tiger Bay,7699,2021,52488.476,27.7447,-81.85
FL,Tom G Smith,673,2021,0.334,26.6125,-80.0678
FL,Treasure Coast Energy Center,56400,2021,199619.6,27.3839,-80.3775
FL,Turkey Point,621,2021,350603.191,25.4356,-80.3308
FL,University of Florida,7345,2021,45803.363,29.6397,-82.3486
FL,Vandolah Power Project,55415,2021,88188.478,27.5242,-81.9236
FL,West County Energy Center,56407,2021,1729940.619,26.6986,-80.3747
GA,AL Sandersville Energy Facility,55672,2021,,33.1189,-82.8608
GA,Albany Green Energy LLC,60340,2021,196470.112,31.5492,-84.1114
GA,Allen B Wilson Combustion Turbine Plant,6258,2021,,33.138,-81.748
GA,Baconton Power,55304,2021,447.707,31.3869,-84.0819
GA,Bowen,703,2021,2938862.513,34.1256,-84.9192
GA,Chattahoochee Energy Facility,7917,2021,260949.149,33.407,-85.0387
GA,Dahlberg (Jackson County),7765,2021,13430.001,34.0386,-83.3972
GA,Doyle Energy Facility,55244,2021,3409.561,33.8376,-83.6996
GA,Edward L Addison Generating Plant,55267,2021,5972.738,32.911,-84.3059
GA,"Effingham County Power, LLC",55406,2021,88717.78,32.2792,-81.2842
GA,Hartwell Energy Facility,70454,2021,18033.931,34.3387,-82.8207
GA,Hawk Road Energy Facility,55141,2021,14118.096,33.3577,-84.9912
GA,Jack McDonough,710,2021,1713509.883,33.8244,-84.475
GA,MPC Generating,7764,2021,,33.8122,-83.6954
GA,McIntosh (6124),6124,2021,5745.9,32.3558,-81.1683
GA,McIntosh Combined Cycle Facility,56150,2021,962333.83,32.3478,-81.1828
GA,McManus,715,2021,,31.2125,-81.5458
GA,Mid-Georgia Cogeneration,55040,2021,4778.629,32.4853,-83.6036
GA,Robins,7348,2021,1352.2,32.5806,-83.5831
GA,Scherer,6257,2021,1835411.781,33.0583,-83.8072
GA,Sewell Creek Energy,7813,2021,,33.9486,-85.2769
GA,Smarr Energy Facility,7829,2021,1853.142,32.9856,-83.8464
GA,Sowega Power Project,7768,2021,1164.943,31.3869,-84.0814
GA,Talbot Energy Facility,7916,2021,5638.231,32.5892,-84.6917
GA,Tenaska Georgia Generating Station,55061,2021,4931.925,33.3516,-84.9996
GA,Thomas A. Smith Energy Facility,55382,2021,774444.444,34.7094,-84.9182
GA,Walton Bainbridge Power Facility,56015,2021,,30.9111,-84.5472
GA,Walton County Power,55128,2021,1487.213,33.8147,-83.6969
GA,Wansley (6052),6052,2021,351477.102,33.4124,-85.0345
GA,Wansley (7946),7946,2021,266079.988,33.4082,-85.0399
GA,Wansley CC (55965),55965,2021,605648.176,33.4063,-85.0373
GA,Washington County Power,55332,2021,1236.633,33.0917,-82.9803
GA,Yates,728,2021,126514.043,33.4622,-84.8986
IA,Ames,1122,2021,59624.523,42.0247,-93.6069
IA,Burlington (IA),1104,2021,334835.718,40.7412,-91.1168
IA,Dayton Avenue Substation,6463,2021,,42.0269,-93.5828
IA,Earl F Wisdom,1217,2021,10164.663,43.1606,-95.2569
IA,Electrifarm,6063,2021,,42.4407,-92.4205
IA,Emery Station,8031,2021,195641.552,43.094,-93.2922
IA,Exira Station,56013,2021,16940.864,41.5131,-94.9189
IA,George Neal North,1091,2021,403893.55,42.3251,-96.3797
IA,George Neal South,7343,2021,195510.825,42.3022,-96.3622
IA,Greater Des Moines Energy Center,7985,2021,62974.219,41.5563,-93.5283
IA,Lansing,1047,2021,120404.989,43.3359,-91.1672
IA,Lime Creek,7155,2021,834.6,43.2481,-93.2046
IA,Louisa,6664,2021,968543.113,41.3153,-91.0936
IA,Marshalltown CTs,1068,2021,,42.0474,-92.8594
IA,Marshalltown Generating Station,58236,2021,30218.893,42.04,-92.87
IA,Muscatine,1167,2021,368122.632,41.3917,-91.0569
IA,Ottumwa,6254,2021,1158520.544,41.0961,-92.5556
IA,Pleasant Hill Energy Center,7145,2021,2855.454,41.5572,-93.5242
IA,Prairie Creek,1073,2021,71690.906,41.9439,-91.6386
IA,Streeter Station,1131,2021,3989.551,42.5267,-92.4394
IA,Summit Lake,1206,2021,,41.1141,-94.3499
IA,Sycamore Combustion Turbine,8029,2021,,41.6722,-93.6769
IA,Walter Scott Jr. Energy Center,1082,2021,1923829.525,41.18,-95.8408
ID,Bennett Mountain Power Project,55733,2021,28008.64,43.147,-115.6671
ID,Evander Andrews Power Complex,7953,2021,21023.477,43.1794,-115.7328
ID,Langley Gulch Power Plant,57028,2021,231896,43.9046,-116.8181
ID,Rathdrum Combustion Turbine Project,7456,2021,10738.131,47.8034,-116.869
ID,"Rathdrum Power, LLC",55179,2021,205613.857,47.7861,-116.9214
IL,Alsey Station,7818,2021,2249.376,39.5697,-90.4362
IL,Archer Daniels Midland Co.,10865,2021,,39.8675,-88.885
IL,Aurora,55279,2021,19680.608,41.8151,-88.2265
IL,Baldwin Energy Complex,889,2021,2025827.111,38.205,-89.855
IL,"Calumet Energy Team, LLC",55296,2021,1021.539,41.6835,-87.5563
IL,Cordova Energy Company,55188,2021,117275.675,41.7146,-90.2802
IL,Crete Energy Park,55253,2021,,41.4297,-87.6187
IL,Dallman,963,2021,382318.679,39.7539,-89.6011
IL,E D Edwards,856,2021,738722.795,40.5958,-89.6631
IL,"Elgin Energy Center, LLC",55438,2021,6500.589,41.9997,-88.2445
IL,Elwood Energy Facility,55199,2021,11958.688,41.4388,-88.1236
IL,Factory Gas Turbine,8016,2021,,39.8266,-89.6368
IL,Fisk,886,2021,,41.8508,-87.6533
IL,Freedom Power Project,7842,2021,3.262,39.1025,-88.8589
IL,"Gibson City Energy Center, LLC",55201,2021,2270.781,40.4705,-88.3987
IL,Goose Creek Power Plant,55496,2021,398.26,40.1083,-88.5986
IL,"Grand Tower Energy Center, LLC",862,2021,,37.6578,-89.5119
IL,Holland Energy Facility,55334,2021,82244.83,39.2242,-88.7594
IL,Ingredion Incorporated Argo Plant,54556,2021,,41.7775,-87.8233
IL,Interstate,7425,2021,717.848,39.8233,-89.5888
IL,Joliet 29,384,2021,,41.4947,-88.125
IL,Joliet 9,874,2021,1847.25,41.4947,-88.125
IL,Joppa Steam,887,2021,1471077.252,37.2103,-88.8606
IL,Kendall Energy Facility,55131,2021,882042.014,41.4797,-88.2581
IL,Kincaid Generating Station,876,2021,1050973.423,39.5906,-89.4964
IL,Kinmundy Power Plant,55204,2021,,38.7619,-89.0128
IL,"LSP University Park, LLC",55640,2021,58659.754,41.4426,-87.7515
IL,"Lee County Generating Station, LLC",55236,2021,9688.846,41.8287,-89.4054
IL,Lincoln Generating Facility,55222,2021,,41.3937,-87.9437
IL,MEPI GT Facility,7858,2021,,37.2175,-88.8658
IL,Marion,976,2021,277848.795,37.6206,-88.955
IL,"Morris Cogeneration, LLC",55216,2021,,41.4092,-88.3292
IL,Nelson Energy Center,55183,2021,249299.197,41.7749,-89.6067
IL,Newton,6017,2021,1041144.128,38.9361,-88.2778
IL,Pinckneyville Power Plant,55202,2021,,38.1114,-89.3467
IL,Powerton,879,2021,742079.03,40.5408,-89.6786
IL,Prairie State Generating Station,55856,2021,2935660.372,38.2792,-89.667
IL,Raccoon Creek Power Plant,55417,2021,91.566,38.6996,-88.5392
IL,Rockford Energy Center,55238,2021,9799.329,42.2403,-89.1025
IL,Rockford II Energy Center,55936,2021,3999.751,42.2383,-89.1014
IL,"Rocky Road Power, LLC",55109,2021,556.395,42.0931,-88.2397
IL,Shelby County,55237,2021,,39.2794,-88.4772
IL,Southeast Chicago Energy Project,55281,2021,,41.7181,-87.5449
IL,Tate & Lyle,10867,2021,,39.8466,-88.9261
IL,Tilton Power Station,7760,2021,2800.543,40.1063,-87.6539
IL,University Park Energy,55250,2021,17112.7,41.4405,-87.7528
IL,Venice,913,2021,5.945,38.6642,-90.1764
IL,Waukegan,883,2021,430659.425,42.3833,-87.8133
IL,Will County,884,2021,349662.625,41.6334,-88.0626
IL,Wood River Refinery,880067,2021,,38.8375,-90.0675
IL,Zion Energy Center,55392,2021,34389.576,42.4776,-87.895
IN,A B Brown Generating Station,6137,2021,830364.59,37.9053,-87.715
IN,Alcoa Allowance Management Inc,6705,2021,1492928.297,37.915,-87.3328
IN,Anderson,7336,2021,1101.028,40.0529,-85.7389
IN,C. C. Perry K Steam Plant,992,2021,18456.271,39.7622,-86.1667
IN,Cayuga,1001,2021,1047614.961,39.9239,-87.4272
IN,Clifty Creek,983,2021,1638630.768,38.7383,-85.4192
