Spud Date,Total Depth Date,LONG,LAT,API Well Number
19640118,19651008,-93.719347,29.693755,1.77E+11
19631115,19631206,-93.747361,29.683007,1.77E+11
19640302,19640315,-93.059607,29.670672,1.77E+11
19640523,19640604,-93.321616,29.678518,1.77E+11
19640219,19640503,-93.013218,29.294204,1.77E+11
19640301,19640323,-93.127361,29.271548,1.77E+11
19640114,19640205,-93.182343,28.85671,1.77E+11
19640605,19640825,-93.729921,29.686204,1.77E+11
19640920,19641210,-93.725402,29.680587,1.77E+11
19640831,19640901,-93.718102,29.70061,1.77E+11
19641111,19650125,-93.734753,29.681096,1.77E+11
19640912,19641007,-93.570656,29.689907,1.77E+11
19641015,19641101,-93.622655,29.678836,1.77E+11
19650122,19650203,-93.114605,29.26577,1.77E+11
19650501,19650506,-93.149966,29.233512,1.77E+11
19650419,19650513,-93.138889,29.249108,1.77E+11
19650213,19650528,-93.732546,29.668404,1.77E+11
19650529,19650712,-93.747115,29.66837,1.77E+11
19650313,19650519,-93.739339,29.674936,1.77E+11
19660406,19660407,-93.71287,29.697041,1.77E+11
19641108,19650510,-93.57672,29.68883,1.77E+11
19650127,19650507,-93.266463,29.499905,1.77E+11
19650903,19651027,-93.57994,29.696864,1.77E+11
19650730,19650906,-93.579549,29.688851,1.77E+11
19650623,19650813,-93.716423,29.668862,1.77E+11
19660218,19660219,-93.737429,29.692462,1.77E+11
19641223,19650224,-93.73056,29.675267,1.77E+11
19830202,19830306,-93.73056,29.675267,1.77E+11
19651015,19651026,-93.097483,29.278811,1.77E+11
19651102,19651123,-93.021528,28.794331,1.77E+11
19640912,19640927,-93.048639,29.670693,1.77E+11
19660325,19660402,-93.323008,29.162505,1.77E+11
19660311,19660319,-93.314604,29.197481,1.77E+11
19660110,19660119,-93.150069,29.227776,1.77E+11
19660407,19660417,-93.182452,29.238262,1.77E+11
19660422,19660503,-93.292233,29.120043,1.77E+11
19660219,19660419,-93.679826,29.713149,1.77E+11
19651118,19660114,-93.574427,29.693732,1.77E+11
19660629,19660629,-93.305725,29.169231,1.77E+11
19660429,19660520,-93.716455,29.678151,1.77E+11
19660128,19660326,-93.716455,29.678151,1.77E+11
19660426,19660703,-93.710351,29.686354,1.77E+11
19660619,19660626,-93.319614,29.181007,1.77E+11
19660912,19661020,-93.037696,29.293879,1.77E+11
19661222,19670110,-93.014633,29.390023,1.77E+11
19661004,19661027,-93.097509,29.278838,1.77E+11
19660826,19660928,-93.09748,29.278836,1.77E+11
19660824,19661010,-93.433236,29.449539,1.77E+11
19650309,19650424,-93.71682,29.685521,1.77E+11
19660511,19660526,-93.784934,29.658262,1.77E+11
19660705,19660908,-93.701922,29.704198,1.77E+11
19660810,19660823,-93.036328,28.802234,1.77E+11
19660825,19660904,-93.036328,28.802234,1.77E+11
19660721,19660804,-93.035968,28.780903,1.77E+11
19661219,19670320,-93.794834,29.647984,1.77E+11
19660729,19661005,-93.671617,29.694614,1.77E+11
19661216,19670127,-93.037703,29.293945,1.77E+11
19661105,19661201,-93.097509,29.278855,1.77E+11
19661204,19661230,-93.097509,29.278855,1.77E+11
19670405,19670420,-93.729633,29.686693,1.77E+11
19660701,19660805,-93.784688,29.648226,1.77E+11
19660908,19661121,-93.775404,29.648416,1.77E+11
19670427,19670508,-93.041757,29.301724,1.77E+11
19660604,19660721,-93.38764,29.65322,1.77E+11
19661108,19670123,-93.601109,29.684299,1.77E+11
19660818,19660902,-93.144471,29.369843,1.77E+11
19670712,19670727,-93.161551,29.351912,1.77E+11
19670724,19670818,-93.026385,28.789587,1.77E+11
19670831,19670913,-93.148834,29.36006,1.77E+11
19770419,19770427,-93.148834,29.36006,1.77E+11
19670813,19690119,-93.183014,29.3962,1.77E+11
19670608,19670622,-93.165913,29.384317,1.77E+11
19671024,19671112,-93.166172,29.373391,1.77E+11
19671115,19671211,-93.166277,29.373341,1.77E+11
19671217,19671227,-93.166161,29.373348,1.77E+11
19671228,19680106,-93.166165,29.373369,1.77E+11
19671206,19680207,-93.670164,29.675034,1.77E+11
19671129,19680108,-93.592306,29.699708,1.77E+11
19670915,19680216,-93.408656,29.438572,1.77E+11
19680110,19680124,-93.1662,29.373385,1.77E+11
19680216,19680229,-93.424945,29.46631,1.77E+11
19680229,19680415,-93.424938,29.466307,1.77E+11
19680217,19680319,-93.138896,29.249106,1.77E+11
19680203,19680405,-93.721709,29.647562,1.77E+11
19680417,19680501,-93.424938,29.466307,1.77E+11
19680510,19680522,-93.424938,29.466307,1.77E+11
19680501,19680506,-93.424938,29.466307,1.77E+11
19680210,19680315,-93.166199,29.373364,1.77E+11
19680127,19680209,-93.166199,29.373364,1.77E+11
19680514,19680604,-93.593366,29.649836,1.77E+11
19680628,19680724,-93.58994,29.632941,1.77E+11
19680316,19680407,-93.597327,29.64008,1.77E+11
19671009,19671024,-93.612811,29.640104,1.77E+11
19680207,19680227,-93.619132,29.631486,1.77E+11
19671204,19680107,-93.601,29.644335,1.77E+11
19680715,19680730,-93.055842,29.293863,1.77E+11
19680615,19680914,-93.434634,29.478749,1.77E+11
19670610,19670718,-93.612353,29.631742,1.77E+11
19680907,19680920,-93.182997,29.39617,1.77E+11
19680923,19681003,-93.182997,29.39617,1.77E+11
19670902,19670926,-93.606785,29.641603,1.77E+11
19680815,19680831,-93.284588,29.518317,1.77E+11
19680816,19680902,-93.05582,29.293688,1.77E+11
19680513,19680530,-93.182972,29.39617,1.77E+11
19680603,19680614,-93.182973,29.396189,1.77E+11
19680709,19680827,-93.182998,29.396189,1.77E+11
19681008,19681020,-93.182997,29.396151,1.77E+11
19680927,19681009,-93.055823,29.293701,1.77E+11
19681011,19681017,-93.055823,29.293701,1.77E+11
19680929,19681210,-93.577197,29.678191,1.77E+11
19681031,19681202,-93.061692,29.280706,1.77E+11
19681027,19681110,-93.576686,29.701772,1.77E+11
19680404,19680502,-93.138921,29.2491,1.77E+11
19681116,19681202,-93.421552,29.45432,1.77E+11
19690110,19690131,-93.625382,29.630827,1.77E+11
19690126,19691215,-93.631139,29.632872,1.77E+11
19680908,19681008,-93.264755,29.509144,1.77E+11
19681230,19690118,-93.278431,29.505663,1.77E+11
19680915,19681114,-93.421552,29.45432,1.77E+11
19681022,19681102,-93.183019,29.396167,1.77E+11
19690209,19690220,-93.187343,29.410548,1.77E+11
19690319,19690407,-93.57015,29.701413,1.77E+11
19690222,19690311,-93.57015,29.701413,1.77E+11
19680725,19680918,-93.566927,29.69603,1.77E+11
19690331,19690510,-93.040531,29.633861,1.77E+11
19690218,19690506,-93.108902,29.540113,1.77E+11
19690228,19690430,-93.282887,29.477771,1.77E+11
19690401,19690511,-93.138872,29.249037,1.77E+11
19690709,19690809,-93.186061,28.866107,1.77E+11
19680618,19680707,-93.182972,29.396148,1.77E+11
19681210,19681225,-93.031147,29.367672,1.77E+11
19560326,19560517,-93.01376,29.274675,1.77E+11
19690510,19690812,-93.148723,29.592809,1.77002E+11
19690601,19690621,-93.589902,29.705259,1.77002E+11
19690614,19690817,-93.724243,29.674549,1.77002E+11
19690629,19690722,-93.089011,29.647149,1.77002E+11
19690901,19690917,-93.134742,29.608013,1.77002E+11
19680813,19690912,-93.186061,28.866107,1.77002E+11
19690921,19691102,-93.134742,29.608013,1.77002E+11
19691114,19700925,-93.134742,29.608013,1.77002E+11
19691105,19700312,-93.560632,29.383156,1.77002E+11
19691128,19700121,-93.013753,29.274609,1.77002E+11
19691201,19691225,-93.134742,29.608013,1.77002E+11
19700104,19700118,-93.619174,29.634005,1.77002E+11
19700104,19700115,-93.281199,29.496524,1.77002E+11
19700108,19700314,-93.163701,29.599636,1.77002E+11
19700206,19700405,-93.282875,29.477793,1.77002E+11
19700124,19700207,-93.281194,29.496771,1.77002E+11
19700303,19700318,-93.573522,29.696677,1.77002E+11
19700131,19700329,-93.013749,29.274565,1.77002E+11
19700201,19700221,-93.281235,29.496746,1.77002E+11
19700327,19700416,-93.166073,29.41615,1.77002E+11
19700216,19700227,-93.624852,29.627615,1.77002E+11
19590927,19591011,-93.605951,29.690577,1.77002E+11
19700401,19700414,-93.297084,29.50791,1.77002E+11
19700309,19700331,-93.297084,29.50791,1.77002E+11
19700315,19700412,-93.163701,29.599636,1.77002E+11
19700405,19700607,-93.723985,29.637371,1.77002E+11
19700417,19700613,-93.163701,29.599636,1.77002E+11
19700624,19700709,-93.282883,29.477738,1.77002E+11
19700424,19700603,-93.282883,29.477738,1.77002E+11
19700426,19700507,-93.28443,29.518292,1.77002E+11
19700604,19700706,-93.148724,29.592809,1.77002E+11
19700829,19700910,-93.148724,29.592809,1.77002E+11
19700611,19700710,-93.134731,29.60811,1.77002E+11
19700514,19700521,-93.297084,29.50791,1.77002E+11
19700527,19700609,-93.165086,29.42296,1.77002E+11
20010712,20010714,-93.165086,29.42296,1.77002E+11
19700622,19700718,-93.163701,29.599636,1.77002E+11
19701224,19710127,-93.264977,29.509256,1.77002E+11
19700707,19710212,-93.148724,29.592809,1.77002E+11
19700619,19700704,-93.16501,29.422964,1.77002E+11
19700714,19700731,-93.134742,29.608013,1.77002E+11
19700630,19700724,-93.54748,29.383291,1.77002E+11
